Name,Nickname,Wins,Losses,Draws,No Contests,Height (in.),Weight (lbs),Reach (in.),Stance,Birth Date,Sig. Strikes landed/min,strike acc. (%),Sig Strikes taken/min,Strike def. (%),TD/15 min,TD acc. (%),TD def. (%),sub/15 min
Tom Aaron,,5,3,0,,,155,,,1978-07-13,0.00,0,0.00,0,0.00,0,0,0.0
Danny Abbadi,The Assassin,4,6,0,,71,155,,Orthodox,1983-07-03,3.29,38,4.41,57,0.00,0,77,0.0
David Abbott,Tank,10,14,0,,72,265,,Switch,,1.35,30,3.55,38,1.07,33,66,0.0
Shamil Abdurakhimov,Abrek,16,4,0,,75,235,76,Orthodox,1981-09-02,2.48,45,2.50,58,1.40,22,77,0.3
Hiroyuki Abe,Abe Ani,8,14,3,1,66,145,,Orthodox,,1.71,36,3.11,63,0.00,0,33,0.0
Papy Abedi,Makambo,9,3,0,,71,185,74,Southpaw,1978-06-30,2.80,55,3.15,48,3.47,57,50,1.3
Ricardo Abreu,Demente,5,3,0,,71,185,73,Orthodox,1984-04-27,3.79,31,3.98,68,2.13,42,100,0.7
Daniel Acacio,,26,12,0,,68,180,,Orthodox,1977-12-27,3.52,36,2.85,62,0.33,20,81,0.0
Scott Adams,,8,1,0,,72,225,,Southpaw,,0.00,0,0.00,0,0.00,0,0,0.0
Sam Adkins,The Experience,7,20,2,,75,225,,Orthodox,1965-04-26,0.00,0,0.00,0,0.00,0,0,0.0
Nick Agallar,,24,6,0,,68,155,,Orthodox,1979-01-13,0.69,11,4.56,42,0.00,0,0,0.0
Marcelo Aguiar,,2,3,1,,70,170,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Edwin Aguilar,Tigre,22,16,0,1,70,185,,,,0.00,0,0.00,0,0.00,0,0,0.0
Jessica Aguilar,Jag,19,5,0,,63,115,63,Orthodox,1982-05-08,4.67,37,7.40,55,0.00,0,0,0.0
Mike Aina,Iron,12,6,1,1,69,155,,Orthodox,,2.87,33,6.33,59,0.00,0,71,0.0
Hitomi Akano,Girlfight Monster,18,8,0,,64,135,,Southpaw,1974-07-27,0.59,45,2.58,55,0.00,0,8,0.5
Omari Akhmedov,Wolverine,16,4,0,,72,170,73,Orthodox,1987-10-12,2.82,34,2.60,57,2.85,50,50,0.4
Yoshihiro Akiyama,,14,6,0,2,70,170,73,Orthodox,1975-07-29,3.10,41,3.62,57,2.29,67,92,1.0
Razak Al-Hassan,,11,5,0,,74,205,,Orthodox,1982-05-14,3.27,39,3.14,60,0.65,14,57,0.0
Mostapha Al-Turk,,6,6,0,,74,245,77,Orthodox,1973-07-14,1.36,19,3.61,53,0.00,0,0,0.0
Javi Alanis,,0,3,0,,66,135,,,,0.00,0,0.00,0,0.00,0,0,0.0
Brett Albee,,3,1,0,,,225,,,,0.00,0,0.00,0,0.00,0,0,0.0
John Albert,Prince,7,5,0,,68,135,68,,1986-10-13,3.05,49,2.82,35,0.00,0,50,6.1
Wes Albritton,,0,1,0,,70,188,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Alexandra Albu,Stitch,6,0,0,,62,115,62,Orthodox,1990-07-14,4.90,67,3.74,28,0.00,0,87,1.8
Israel Albuquerque,,0,3,0,,,185,,Orthodox,,0.32,13,3.34,25,0.00,0,0,0.0
Juan Alcain,,1,2,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Iuri Alcantara,Marajo,33,7,0,1,69,135,71,Southpaw,1980-08-04,2.64,47,2.03,52,1.44,70,58,0.7
Ildemar Alcantara,Marajo,21,8,0,,74,185,78,Orthodox,1982-11-18,1.93,38,2.63,50,2.00,68,81,0.9
Alfonso Alcarez,,1,3,1,,63,145,,,1970-06-10,0.00,0,0.00,0,0.00,0,0,0.0
Gilbert Aldana,El Peligro,6,2,0,,73,250,,Orthodox,1977-08-25,2.91,54,6.26,26,2.57,40,33,0.0
Irene Aldana,,7,3,0,,69,135,68,Orthodox,1988-03-26,7.20,42,11.27,57,1.00,100,0,0.0
Jose Aldo,Junior,26,2,0,,67,145,70,Orthodox,1986-09-09,3.28,43,2.09,71,0.83,72,92,0.2
JJ Aldrich,,4,2,0,,65,115,67,Southpaw,1992-09-29,2.07,38,3.73,54,0.00,0,33,0.0
Jim Alers,The Beast,13,3,0,1,69,145,71,Orthodox,1986-10-14,2.90,40,4.38,56,2.26,41,80,0.3
John Alessio,The Natural,34,16,0,1,70,155,72,Orthodox,1979-07-05,1.87,35,2.46,57,1.78,36,72,1.0
Houston Alexander,The Assassin,13,8,1,2,72,205,72,Orthodox,1972-03-22,3.06,54,3.20,52,1.19,57,33,0.0
Kenneth Alexander,The Machine,5,5,0,1,69,155,,Orthodox,1977-09-25,0.88,19,2.20,66,4.71,26,0,0.0
Marcio Alexandre Junior,Lyoto,13,3,0,,72,170,75,Southpaw,1989-05-05,1.66,44,2.97,41,0.37,20,72,0.4
Olaf Alfonso,,8,11,0,,74,170,,Orthodox,1974-08-06,0.74,26,5.33,37,0.00,0,22,0.6
Pablo Alfonso,The Hurricane,6,5,0,,68,145,,,1983-05-09,0.00,0,0.00,0,0.00,0,0,0.0
Levi Alford,,1,4,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Royce Alger,,3,2,0,,70,199,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Sultan Aliev,,14,2,0,,71,170,74,Orthodox,1984-09-17,1.30,57,2.03,58,1.69,66,100,0.0
George Allen,,13,19,2,,74,205,,Open Stance,1967-01-13,0.80,38,3.10,43,0.00,0,50,0.0
Arnold Allen,Almighty,11,1,0,,68,145,70,Southpaw,1994-01-22,2.02,30,2.25,52,2.81,62,83,0.6
Benny Alloway,Blanco,13,6,0,,71,170,75,Orthodox,1981-02-19,1.28,49,1.90,59,0.62,50,26,0.0
