ID,Name,Date of Birth,Weight (KG),Height (CM),Locality,Nationality,Association,Wins,Losses,Draws,Last Fight
1,Tony Galindo,1973-04-08T00:00:00,81.65,167.64,"Chula Vista, California",United States,BullPen,3,3,1,2005-03-20T00:00:00
2,Kurt Rojo,None,90.72,182.88,California,USA,None,0,2,0,2000-12-09T00:00:00
3,Brian Hawkins,None,102.06,185.42,"Monroe, Michigan",United States,Gomez Academy,5,4,0,2006-03-18T00:00:00
4,Ken Shamrock,1964-02-11T00:00:00,96.16,185.42,"San Diego, California",United States,Lion's Den,28,17,2,2016-02-19T00:00:00
5,Alexander Otsuka,1971-07-17T00:00:00,92.08,185.42,None,Japan,None,5,13,0,2011-12-25T00:00:00
6,Johil de Oliveira,1969-08-07T00:00:00,70.31,172.72,Rio de Janeiro,Brazil,Johil Team,17,15,1,2012-06-09T00:00:00
7,Carlos Newton,1976-08-17T00:00:00,78.93,175.26,"Newmarket, Ontario",Canada,Warrior MMA Fight Team,16,14,0,2010-07-10T00:00:00
8,Ricco Rodriguez,1977-08-19T00:00:00,102.06,193.04,"Staten Island, New York",United States,American Fight Club,53,25,0,2016-11-19T00:00:00
9,John Marsh,1970-09-15T00:00:00,100.7,182.88,"Torrance, California",United States,Team Neutral Grounds,8,7,0,2007-11-30T00:00:00
10,Akira Shoji,1974-01-31T00:00:00,83.91,172.72,Osaka,Japan,Freelance,14,17,5,2011-04-22T00:00:00
11,Ricardo Almeida,1976-11-29T00:00:00,77.11,180.34,"Bordentown, New Jersey",United States,Renzo Gracie Jiu-Jitsu,13,5,0,2011-03-19T00:00:00
12,Enson Inoue,1967-04-15T00:00:00,92.53,177.8,"Omiya, Saitama",Japan,Purebred Omiya,12,8,0,2010-04-25T00:00:00
13,Heath Herring,1978-03-02T00:00:00,113.4,193.04,"Waco, Texas",United States,Las Vegas Combat Club,28,15,0,2016-12-29T00:00:00
14,Guy Mezger,1968-01-01T00:00:00,90.72,185.42,"Houston, Texas",United States,Lion's Den Dallas,30,14,2,2003-12-06T00:00:00
15,Gerard Gordeau,1955-03-30T00:00:00,97.98,195.58,The Hague,Netherlands,Kamakura,2,2,0,1995-04-20T00:00:00
16,Teila Tuli,1969-06-14T00:00:00,188.24,187.96,"Honolulu, Hawaii",United States,None,0,1,0,1993-11-12T00:00:00
17,Kevin Rosier,1962-01-06T00:00:00,120.2,193.04,"Tampa, Florida",United States,None,2,6,0,2000-01-22T00:00:00
18,Zane Frazier,1966-07-16T00:00:00,104.33,198.12,"North Hollywood, California",United States,None,4,11,0,2008-01-26T00:00:00
